k,hits,precision,recall,fmeasure
1,1.0,1.0,0.04,0.07692307692307693
2,1.0,0.5,0.04,0.07407407407407407
3,1.0,0.3333333333333333,0.04,0.07142857142857142
4,2.0,0.5,0.08,0.13793103448275865
5,3.0,0.6,0.12,0.19999999999999998
6,4.0,0.6666666666666666,0.16,0.25806451612903225
7,5.0,0.7142857142857143,0.2,0.3125
8,6.0,0.75,0.24,0.36363636363636365
9,7.0,0.7777777777777778,0.28,0.4117647058823529
10,8.0,0.8,0.32,0.45714285714285713
11,9.0,0.8181818181818182,0.36,0.5
12,10.0,0.8333333333333334,0.4,0.5405405405405406
13,11.0,0.8461538461538461,0.44,0.5789473684210525
14,12.0,0.8571428571428571,0.48,0.6153846153846153
15,13.0,0.8666666666666667,0.52,0.65
16,14.0,0.875,0.56,0.6829268292682927
17,15.0,0.8823529411764706,0.6,0.7142857142857143
18,16.0,0.8888888888888888,0.64,0.7441860465116279
19,17.0,0.8947368421052632,0.68,0.7727272727272727
20,18.0,0.9,0.72,0.7999999999999999
