k,hits,precision,recall,fmeasure
1,1.0,1.0,0.02702702702702703,0.052631578947368425
2,2.0,1.0,0.05405405405405406,0.10256410256410257
3,3.0,1.0,0.08108108108108109,0.15
4,4.0,1.0,0.10810810810810811,0.1951219512195122
5,5.0,1.0,0.13513513513513514,0.2380952380952381
6,6.0,1.0,0.16216216216216217,0.27906976744186046
7,7.0,1.0,0.1891891891891892,0.3181818181818182
8,8.0,1.0,0.21621621621621623,0.35555555555555557
9,9.0,1.0,0.24324324324324326,0.391304347826087
10,9.0,0.9,0.24324324324324326,0.3829787234042553
11,10.0,0.9090909090909091,0.2702702702702703,0.4166666666666667
12,10.0,0.8333333333333334,0.2702702702702703,0.4081632653061225
13,11.0,0.8461538461538461,0.2972972972972973,0.44000000000000006
14,12.0,0.8571428571428571,0.32432432432432434,0.4705882352941177
15,13.0,0.8666666666666667,0.35135135135135137,0.5000000000000001
16,14.0,0.875,0.3783783783783784,0.5283018867924528
17,15.0,0.8823529411764706,0.40540540540540543,0.5555555555555556
18,15.0,0.8333333333333334,0.40540540540540543,0.5454545454545455
19,16.0,0.8421052631578947,0.43243243243243246,0.5714285714285715
20,17.0,0.85,0.4594594594594595,0.5964912280701754
