k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,1.0,0.5,0.030303030303030304,0.05714285714285715
3,2.0,0.6666666666666666,0.06060606060606061,0.1111111111111111
4,3.0,0.75,0.09090909090909091,0.16216216216216214
5,4.0,0.8,0.12121212121212122,0.2105263157894737
6,4.0,0.6666666666666666,0.12121212121212122,0.20512820512820512
7,5.0,0.7142857142857143,0.15151515151515152,0.25
8,6.0,0.75,0.18181818181818182,0.2926829268292683
9,7.0,0.7777777777777778,0.21212121212121213,0.3333333333333333
10,8.0,0.8,0.24242424242424243,0.372093023255814
11,9.0,0.8181818181818182,0.2727272727272727,0.4090909090909091
12,10.0,0.8333333333333334,0.30303030303030304,0.4444444444444444
13,11.0,0.8461538461538461,0.3333333333333333,0.47826086956521735
14,12.0,0.8571428571428571,0.36363636363636365,0.5106382978723404
15,13.0,0.8666666666666667,0.3939393939393939,0.5416666666666666
16,14.0,0.875,0.42424242424242425,0.5714285714285714
17,15.0,0.8823529411764706,0.45454545454545453,0.6
18,16.0,0.8888888888888888,0.48484848484848486,0.6274509803921569
19,17.0,0.8947368421052632,0.5151515151515151,0.6538461538461537
20,17.0,0.85,0.5151515151515151,0.6415094339622641
