k,#hits,precision,recall,fmeasure,hit
1,0.0,0.0,0.0,0.0,0
2,1.0,0.5,0.07692307692307693,0.13333333333333336,1
3,1.0,0.3333333333333333,0.07692307692307693,0.125,0
4,2.0,0.5,0.15384615384615385,0.23529411764705882,1
5,2.0,0.4,0.15384615384615385,0.2222222222222222,0
6,2.0,0.3333333333333333,0.15384615384615385,0.21052631578947367,0
7,2.0,0.2857142857142857,0.15384615384615385,0.2,0
8,2.0,0.25,0.15384615384615385,0.1904761904761905,0
9,2.0,0.2222222222222222,0.15384615384615385,0.18181818181818185,0
10,2.0,0.2,0.15384615384615385,0.17391304347826086,0
11,2.0,0.18181818181818182,0.15384615384615385,0.16666666666666669,0
12,2.0,0.16666666666666666,0.15384615384615385,0.16,0
13,2.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0
14,2.0,0.14285714285714285,0.15384615384615385,0.14814814814814817,0
15,2.0,0.13333333333333333,0.15384615384615385,0.14285714285714288,0
16,2.0,0.125,0.15384615384615385,0.13793103448275862,0
17,2.0,0.11764705882352941,0.15384615384615385,0.13333333333333333,0
18,2.0,0.1111111111111111,0.15384615384615385,0.12903225806451615,0
19,2.0,0.10526315789473684,0.15384615384615385,0.125,0
20,2.0,0.1,0.15384615384615385,0.12121212121212123,0
