k,hits,precision,recall,fmeasure
1,1.0,1.0,0.05263157894736842,0.1
2,1.0,0.5,0.05263157894736842,0.09523809523809525
3,2.0,0.6666666666666666,0.10526315789473684,0.18181818181818182
4,2.0,0.5,0.10526315789473684,0.17391304347826086
5,2.0,0.4,0.10526315789473684,0.16666666666666666
6,2.0,0.3333333333333333,0.10526315789473684,0.16
7,2.0,0.2857142857142857,0.10526315789473684,0.15384615384615385
8,2.0,0.25,0.10526315789473684,0.14814814814814814
9,2.0,0.2222222222222222,0.10526315789473684,0.14285714285714285
10,2.0,0.2,0.10526315789473684,0.13793103448275862
11,2.0,0.18181818181818182,0.10526315789473684,0.13333333333333333
12,2.0,0.16666666666666666,0.10526315789473684,0.12903225806451615
13,2.0,0.15384615384615385,0.10526315789473684,0.125
14,2.0,0.14285714285714285,0.10526315789473684,0.12121212121212122
15,2.0,0.13333333333333333,0.10526315789473684,0.11764705882352941
16,2.0,0.125,0.10526315789473684,0.11428571428571428
17,2.0,0.11764705882352941,0.10526315789473684,0.1111111111111111
18,2.0,0.1111111111111111,0.10526315789473684,0.10810810810810811
19,2.0,0.10526315789473684,0.10526315789473684,0.10526315789473684
20,2.0,0.1,0.10526315789473684,0.10256410256410256
