k,hits,precision,recall,fmeasure
1,1.0,1.0,0.07142857142857142,0.13333333333333333
2,1.0,0.5,0.07142857142857142,0.125
3,1.0,0.3333333333333333,0.07142857142857142,0.11764705882352941
4,1.0,0.25,0.07142857142857142,0.11111111111111112
5,1.0,0.2,0.07142857142857142,0.10526315789473682
6,1.0,0.16666666666666666,0.07142857142857142,0.1
7,1.0,0.14285714285714285,0.07142857142857142,0.09523809523809523
8,1.0,0.125,0.07142857142857142,0.09090909090909091
9,1.0,0.1111111111111111,0.07142857142857142,0.08695652173913043
10,1.0,0.1,0.07142857142857142,0.08333333333333333
11,1.0,0.09090909090909091,0.07142857142857142,0.08
12,1.0,0.08333333333333333,0.07142857142857142,0.07692307692307691
13,1.0,0.07692307692307693,0.07142857142857142,0.07407407407407408
14,1.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
15,1.0,0.06666666666666667,0.07142857142857142,0.0689655172413793
16,1.0,0.0625,0.07142857142857142,0.06666666666666667
17,1.0,0.058823529411764705,0.07142857142857142,0.06451612903225808
18,1.0,0.05555555555555555,0.07142857142857142,0.0625
19,1.0,0.05263157894736842,0.07142857142857142,0.06060606060606061
20,1.0,0.05,0.07142857142857142,0.058823529411764705
