k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.02631578947368421,0.05128205128205127,1
2,1.0,0.5,0.02631578947368421,0.05,0
3,2.0,0.6666666666666666,0.05263157894736842,0.09756097560975609,1
4,3.0,0.75,0.07894736842105263,0.14285714285714285,1
5,4.0,0.8,0.10526315789473684,0.18604651162790697,1
6,5.0,0.8333333333333334,0.13157894736842105,0.22727272727272727,1
7,6.0,0.8571428571428571,0.15789473684210525,0.26666666666666666,1
8,7.0,0.875,0.18421052631578946,0.30434782608695654,1
9,8.0,0.8888888888888888,0.21052631578947367,0.3404255319148936,1
10,9.0,0.9,0.23684210526315788,0.375,1
11,10.0,0.9090909090909091,0.2631578947368421,0.4081632653061224,1
12,10.0,0.8333333333333334,0.2631578947368421,0.39999999999999997,0
13,10.0,0.7692307692307693,0.2631578947368421,0.392156862745098,0
14,10.0,0.7142857142857143,0.2631578947368421,0.3846153846153846,0
15,10.0,0.6666666666666666,0.2631578947368421,0.3773584905660377,0
16,10.0,0.625,0.2631578947368421,0.37037037037037035,0
17,10.0,0.5882352941176471,0.2631578947368421,0.3636363636363636,0
18,10.0,0.5555555555555556,0.2631578947368421,0.35714285714285715,0
19,10.0,0.5263157894736842,0.2631578947368421,0.35087719298245607,0
20,10.0,0.5,0.2631578947368421,0.3448275862068966,0
