k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.01694915254237288,0.03333333333333333,1
2,2.0,1.0,0.03389830508474576,0.06557377049180328,1
3,3.0,1.0,0.05084745762711865,0.0967741935483871,1
4,4.0,1.0,0.06779661016949153,0.12698412698412698,1
5,5.0,1.0,0.0847457627118644,0.15625,1
6,6.0,1.0,0.1016949152542373,0.18461538461538463,1
7,7.0,1.0,0.11864406779661017,0.21212121212121215,1
8,8.0,1.0,0.13559322033898305,0.23880597014925373,1
9,9.0,1.0,0.15254237288135594,0.2647058823529412,1
10,10.0,1.0,0.1694915254237288,0.2898550724637681,1
11,11.0,1.0,0.1864406779661017,0.3142857142857143,1
12,12.0,1.0,0.2033898305084746,0.33802816901408456,1
13,12.0,0.9230769230769231,0.2033898305084746,0.3333333333333333,0
14,13.0,0.9285714285714286,0.22033898305084745,0.3561643835616438,1
15,14.0,0.9333333333333333,0.23728813559322035,0.37837837837837834,1
16,15.0,0.9375,0.2542372881355932,0.39999999999999997,1
17,16.0,0.9411764705882353,0.2711864406779661,0.42105263157894735,1
18,17.0,0.9444444444444444,0.288135593220339,0.4415584415584416,1
19,18.0,0.9473684210526315,0.3050847457627119,0.46153846153846156,1
20,19.0,0.95,0.3220338983050847,0.48101265822784806,1
