k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.02,0.0392156862745098,1
2,2.0,1.0,0.04,0.07692307692307693,1
3,3.0,1.0,0.06,0.11320754716981131,1
4,4.0,1.0,0.08,0.14814814814814814,1
5,5.0,1.0,0.1,0.18181818181818182,1
6,6.0,1.0,0.12,0.21428571428571425,1
7,7.0,1.0,0.14,0.24561403508771928,1
8,8.0,1.0,0.16,0.2758620689655173,1
9,9.0,1.0,0.18,0.3050847457627119,1
10,9.0,0.9,0.18,0.3,0
11,10.0,0.9090909090909091,0.2,0.32786885245901637,1
12,11.0,0.9166666666666666,0.22,0.3548387096774193,1
13,12.0,0.9230769230769231,0.24,0.38095238095238093,1
14,13.0,0.9285714285714286,0.26,0.40625,1
15,14.0,0.9333333333333333,0.28,0.4307692307692308,1
16,15.0,0.9375,0.3,0.45454545454545453,1
17,16.0,0.9411764705882353,0.32,0.4776119402985075,1
18,17.0,0.9444444444444444,0.34,0.5,1
19,18.0,0.9473684210526315,0.36,0.5217391304347826,1
20,19.0,0.95,0.38,0.5428571428571428,1
