k,hits,precision,recall,fmeasure
1,1.0,1.0,0.010101010101010102,0.02
2,2.0,1.0,0.020202020202020204,0.03960396039603961
3,2.0,0.6666666666666666,0.020202020202020204,0.03921568627450981
4,2.0,0.5,0.020202020202020204,0.03883495145631068
5,3.0,0.6,0.030303030303030304,0.057692307692307696
6,4.0,0.6666666666666666,0.04040404040404041,0.0761904761904762
7,5.0,0.7142857142857143,0.050505050505050504,0.09433962264150943
8,6.0,0.75,0.06060606060606061,0.11214953271028039
9,6.0,0.6666666666666666,0.06060606060606061,0.1111111111111111
10,6.0,0.6,0.06060606060606061,0.11009174311926605
11,7.0,0.6363636363636364,0.0707070707070707,0.12727272727272726
12,8.0,0.6666666666666666,0.08080808080808081,0.14414414414414417
13,9.0,0.6923076923076923,0.09090909090909091,0.16071428571428573
14,10.0,0.7142857142857143,0.10101010101010101,0.17699115044247787
15,11.0,0.7333333333333333,0.1111111111111111,0.1929824561403509
16,12.0,0.75,0.12121212121212122,0.20869565217391306
17,13.0,0.7647058823529411,0.13131313131313133,0.2241379310344828
18,14.0,0.7777777777777778,0.1414141414141414,0.2393162393162393
19,15.0,0.7894736842105263,0.15151515151515152,0.2542372881355932
20,16.0,0.8,0.16161616161616163,0.26890756302521013
