k,hits,precision,recall,fmeasure
1,1.0,1.0,0.029411764705882353,0.05714285714285715
2,2.0,1.0,0.058823529411764705,0.1111111111111111
3,2.0,0.6666666666666666,0.058823529411764705,0.10810810810810811
4,2.0,0.5,0.058823529411764705,0.10526315789473684
5,3.0,0.6,0.08823529411764706,0.15384615384615385
6,3.0,0.5,0.08823529411764706,0.15
7,4.0,0.5714285714285714,0.11764705882352941,0.1951219512195122
8,5.0,0.625,0.14705882352941177,0.2380952380952381
9,6.0,0.6666666666666666,0.17647058823529413,0.27906976744186046
10,6.0,0.6,0.17647058823529413,0.2727272727272727
11,7.0,0.6363636363636364,0.20588235294117646,0.3111111111111111
12,8.0,0.6666666666666666,0.23529411764705882,0.3478260869565218
13,9.0,0.6923076923076923,0.2647058823529412,0.3829787234042553
14,9.0,0.6428571428571429,0.2647058823529412,0.37499999999999994
15,10.0,0.6666666666666666,0.29411764705882354,0.40816326530612246
16,11.0,0.6875,0.3235294117647059,0.44000000000000006
17,12.0,0.7058823529411765,0.35294117647058826,0.4705882352941177
18,13.0,0.7222222222222222,0.38235294117647056,0.4999999999999999
19,14.0,0.7368421052631579,0.4117647058823529,0.5283018867924528
20,15.0,0.75,0.4411764705882353,0.5555555555555556
