k,hits,precision,recall,fmeasure
1,1.0,0.5,0.06666666666666667,0.11764705882352941
2,1.0,0.3333333333333333,0.06666666666666667,0.1111111111111111
3,1.0,0.25,0.06666666666666667,0.10526315789473685
4,1.0,0.2,0.06666666666666667,0.1
5,1.0,0.16666666666666666,0.06666666666666667,0.09523809523809522
6,1.0,0.14285714285714285,0.06666666666666667,0.09090909090909091
7,1.0,0.125,0.06666666666666667,0.08695652173913045
8,1.0,0.1111111111111111,0.06666666666666667,0.08333333333333334
9,1.0,0.1,0.06666666666666667,0.08
10,1.0,0.09090909090909091,0.06666666666666667,0.07692307692307691
11,1.0,0.08333333333333333,0.06666666666666667,0.07407407407407407
12,1.0,0.07692307692307693,0.06666666666666667,0.07142857142857144
13,1.0,0.07142857142857142,0.06666666666666667,0.0689655172413793
14,1.0,0.06666666666666667,0.06666666666666667,0.06666666666666667
15,1.0,0.0625,0.06666666666666667,0.06451612903225808
16,1.0,0.058823529411764705,0.06666666666666667,0.0625
17,1.0,0.05555555555555555,0.06666666666666667,0.0606060606060606
18,1.0,0.05263157894736842,0.06666666666666667,0.058823529411764705
19,1.0,0.05,0.06666666666666667,0.05714285714285715
