k,hits,precision,recall,fmeasure
1,1.0,1.0,0.038461538461538464,0.07407407407407407
2,2.0,1.0,0.07692307692307693,0.14285714285714288
3,3.0,1.0,0.11538461538461539,0.20689655172413793
4,4.0,1.0,0.15384615384615385,0.2666666666666667
5,5.0,1.0,0.19230769230769232,0.32258064516129037
6,6.0,1.0,0.23076923076923078,0.375
7,7.0,1.0,0.2692307692307692,0.42424242424242425
8,8.0,1.0,0.3076923076923077,0.47058823529411764
9,8.0,0.8888888888888888,0.3076923076923077,0.4571428571428572
10,8.0,0.8,0.3076923076923077,0.4444444444444444
11,8.0,0.7272727272727273,0.3076923076923077,0.43243243243243246
12,8.0,0.6666666666666666,0.3076923076923077,0.42105263157894735
13,8.0,0.6153846153846154,0.3076923076923077,0.4102564102564103
14,8.0,0.5714285714285714,0.3076923076923077,0.4
15,8.0,0.5333333333333333,0.3076923076923077,0.3902439024390244
16,8.0,0.5,0.3076923076923077,0.380952380952381
17,8.0,0.47058823529411764,0.3076923076923077,0.372093023255814
18,8.0,0.4444444444444444,0.3076923076923077,0.3636363636363637
19,8.0,0.42105263157894735,0.3076923076923077,0.35555555555555557
20,8.0,0.4,0.3076923076923077,0.34782608695652173
