k,hits,precision,recall,fmeasure
1,1.0,1.0,0.02,0.0392156862745098
2,2.0,1.0,0.04,0.07692307692307693
3,2.0,0.6666666666666666,0.04,0.07547169811320754
4,2.0,0.5,0.04,0.07407407407407407
5,2.0,0.4,0.04,0.07272727272727272
6,2.0,0.3333333333333333,0.04,0.07142857142857142
7,3.0,0.42857142857142855,0.06,0.10526315789473684
8,4.0,0.5,0.08,0.13793103448275865
9,5.0,0.5555555555555556,0.1,0.16949152542372883
10,6.0,0.6,0.12,0.19999999999999998
11,6.0,0.5454545454545454,0.12,0.19672131147540983
12,6.0,0.5,0.12,0.1935483870967742
13,7.0,0.5384615384615384,0.14,0.2222222222222222
14,8.0,0.5714285714285714,0.16,0.25
15,9.0,0.6,0.18,0.2769230769230769
16,10.0,0.625,0.2,0.30303030303030304
17,11.0,0.6470588235294118,0.22,0.3283582089552239
18,12.0,0.6666666666666666,0.24,0.3529411764705882
19,12.0,0.631578947368421,0.24,0.34782608695652173
20,13.0,0.65,0.26,0.37142857142857144
