k,hits,precision,recall,fmeasure
1,1.0,1.0,0.021739130434782608,0.042553191489361694
2,1.0,0.5,0.021739130434782608,0.041666666666666664
3,2.0,0.6666666666666666,0.043478260869565216,0.08163265306122448
4,2.0,0.5,0.043478260869565216,0.08
5,3.0,0.6,0.06521739130434782,0.11764705882352941
6,3.0,0.5,0.06521739130434782,0.11538461538461539
7,4.0,0.5714285714285714,0.08695652173913043,0.15094339622641512
8,5.0,0.625,0.10869565217391304,0.18518518518518517
9,6.0,0.6666666666666666,0.13043478260869565,0.21818181818181817
10,6.0,0.6,0.13043478260869565,0.21428571428571427
11,7.0,0.6363636363636364,0.15217391304347827,0.2456140350877193
12,8.0,0.6666666666666666,0.17391304347826086,0.27586206896551724
13,9.0,0.6923076923076923,0.1956521739130435,0.3050847457627119
14,9.0,0.6428571428571429,0.1956521739130435,0.30000000000000004
15,10.0,0.6666666666666666,0.21739130434782608,0.32786885245901637
16,11.0,0.6875,0.2391304347826087,0.3548387096774194
17,12.0,0.7058823529411765,0.2608695652173913,0.380952380952381
18,12.0,0.6666666666666666,0.2608695652173913,0.37500000000000006
19,12.0,0.631578947368421,0.2608695652173913,0.3692307692307692
20,12.0,0.6,0.2608695652173913,0.36363636363636365
