k,hits,precision,recall,fmeasure
1,1.0,1.0,0.041666666666666664,0.07999999999999999
2,1.0,0.5,0.041666666666666664,0.07692307692307693
3,1.0,0.3333333333333333,0.041666666666666664,0.07407407407407407
4,2.0,0.5,0.08333333333333333,0.14285714285714285
5,2.0,0.4,0.08333333333333333,0.13793103448275862
6,3.0,0.5,0.125,0.2
7,4.0,0.5714285714285714,0.16666666666666666,0.25806451612903225
8,5.0,0.625,0.20833333333333334,0.3125
9,6.0,0.6666666666666666,0.25,0.36363636363636365
10,7.0,0.7,0.2916666666666667,0.4117647058823529
11,7.0,0.6363636363636364,0.2916666666666667,0.4
12,7.0,0.5833333333333334,0.2916666666666667,0.38888888888888895
13,7.0,0.5384615384615384,0.2916666666666667,0.3783783783783784
14,7.0,0.5,0.2916666666666667,0.3684210526315789
15,7.0,0.4666666666666667,0.2916666666666667,0.35897435897435903
16,7.0,0.4375,0.2916666666666667,0.35000000000000003
17,7.0,0.4117647058823529,0.2916666666666667,0.34146341463414637
18,7.0,0.3888888888888889,0.2916666666666667,0.3333333333333333
19,7.0,0.3684210526315789,0.2916666666666667,0.32558139534883723
20,7.0,0.35,0.2916666666666667,0.31818181818181823
