k,hits,precision,recall,fmeasure
1,1.0,1.0,0.06666666666666667,0.125
2,1.0,0.5,0.06666666666666667,0.11764705882352941
3,2.0,0.6666666666666666,0.13333333333333333,0.2222222222222222
4,2.0,0.5,0.13333333333333333,0.2105263157894737
5,2.0,0.4,0.13333333333333333,0.2
6,2.0,0.3333333333333333,0.13333333333333333,0.19047619047619044
7,2.0,0.2857142857142857,0.13333333333333333,0.18181818181818182
8,2.0,0.25,0.13333333333333333,0.1739130434782609
9,2.0,0.2222222222222222,0.13333333333333333,0.16666666666666669
10,2.0,0.2,0.13333333333333333,0.16
11,2.0,0.18181818181818182,0.13333333333333333,0.15384615384615383
12,2.0,0.16666666666666666,0.13333333333333333,0.14814814814814814
13,2.0,0.15384615384615385,0.13333333333333333,0.14285714285714288
14,2.0,0.14285714285714285,0.13333333333333333,0.1379310344827586
15,2.0,0.13333333333333333,0.13333333333333333,0.13333333333333333
16,2.0,0.125,0.13333333333333333,0.12903225806451615
17,2.0,0.11764705882352941,0.13333333333333333,0.125
18,2.0,0.1111111111111111,0.13333333333333333,0.1212121212121212
19,2.0,0.10526315789473684,0.13333333333333333,0.11764705882352941
20,2.0,0.1,0.13333333333333333,0.1142857142857143
