k,hits,precision,recall,fmeasure
1,1.0,1.0,0.02702702702702703,0.052631578947368425
2,2.0,1.0,0.05405405405405406,0.10256410256410257
3,3.0,1.0,0.08108108108108109,0.15
4,4.0,1.0,0.10810810810810811,0.1951219512195122
5,5.0,1.0,0.13513513513513514,0.2380952380952381
6,6.0,1.0,0.16216216216216217,0.27906976744186046
7,7.0,1.0,0.1891891891891892,0.3181818181818182
8,8.0,1.0,0.21621621621621623,0.35555555555555557
9,9.0,1.0,0.24324324324324326,0.391304347826087
10,10.0,1.0,0.2702702702702703,0.4255319148936171
11,10.0,0.9090909090909091,0.2702702702702703,0.4166666666666667
12,10.0,0.8333333333333334,0.2702702702702703,0.4081632653061225
13,10.0,0.7692307692307693,0.2702702702702703,0.4
14,10.0,0.7142857142857143,0.2702702702702703,0.39215686274509803
15,10.0,0.6666666666666666,0.2702702702702703,0.3846153846153846
16,10.0,0.625,0.2702702702702703,0.3773584905660377
17,10.0,0.5882352941176471,0.2702702702702703,0.37037037037037035
18,10.0,0.5555555555555556,0.2702702702702703,0.36363636363636365
19,10.0,0.5263157894736842,0.2702702702702703,0.35714285714285715
20,10.0,0.5,0.2702702702702703,0.3508771929824562
