k,hits,precision,recall,fmeasure
1,1.0,1.0,0.030303030303030304,0.05882352941176471
2,2.0,1.0,0.06060606060606061,0.1142857142857143
3,3.0,1.0,0.09090909090909091,0.16666666666666669
4,4.0,1.0,0.12121212121212122,0.21621621621621626
5,5.0,1.0,0.15151515151515152,0.2631578947368421
6,6.0,1.0,0.18181818181818182,0.3076923076923077
7,7.0,1.0,0.21212121212121213,0.35
8,7.0,0.875,0.21212121212121213,0.3414634146341463
9,8.0,0.8888888888888888,0.24242424242424243,0.38095238095238093
10,9.0,0.9,0.2727272727272727,0.41860465116279066
11,9.0,0.8181818181818182,0.2727272727272727,0.4090909090909091
12,9.0,0.75,0.2727272727272727,0.39999999999999997
13,9.0,0.6923076923076923,0.2727272727272727,0.391304347826087
14,9.0,0.6428571428571429,0.2727272727272727,0.3829787234042553
15,9.0,0.6,0.2727272727272727,0.37499999999999994
16,9.0,0.5625,0.2727272727272727,0.36734693877551017
17,9.0,0.5294117647058824,0.2727272727272727,0.36
18,9.0,0.5,0.2727272727272727,0.3529411764705882
19,9.0,0.47368421052631576,0.2727272727272727,0.34615384615384615
20,9.0,0.45,0.2727272727272727,0.339622641509434
