k,#hits,precision,recall,fmeasure,hit
1,0.0,0.0,0.0,0.0,0
2,1.0,0.5,0.08333333333333333,0.14285714285714285,1
3,1.0,0.3333333333333333,0.08333333333333333,0.13333333333333333,0
4,1.0,0.25,0.08333333333333333,0.125,0
5,1.0,0.2,0.08333333333333333,0.11764705882352941,0
6,1.0,0.16666666666666666,0.08333333333333333,0.1111111111111111,0
7,1.0,0.14285714285714285,0.08333333333333333,0.10526315789473685,0
8,1.0,0.125,0.08333333333333333,0.1,0
9,1.0,0.1111111111111111,0.08333333333333333,0.09523809523809525,0
10,1.0,0.1,0.08333333333333333,0.0909090909090909,0
11,1.0,0.09090909090909091,0.08333333333333333,0.08695652173913043,0
12,1.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0
13,1.0,0.07692307692307693,0.08333333333333333,0.08,0
14,1.0,0.07142857142857142,0.08333333333333333,0.07692307692307691,0
15,1.0,0.06666666666666667,0.08333333333333333,0.07407407407407407,0
16,1.0,0.0625,0.08333333333333333,0.07142857142857144,0
17,1.0,0.058823529411764705,0.08333333333333333,0.06896551724137931,0
18,1.0,0.05555555555555555,0.08333333333333333,0.06666666666666667,0
19,1.0,0.05263157894736842,0.08333333333333333,0.06451612903225808,0
20,1.0,0.05,0.08333333333333333,0.0625,0
