k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.029411764705882353,0.05714285714285715,1
2,2.0,1.0,0.058823529411764705,0.1111111111111111,1
3,3.0,1.0,0.08823529411764706,0.1621621621621622,1
4,3.0,0.75,0.08823529411764706,0.15789473684210525,0
5,3.0,0.6,0.08823529411764706,0.15384615384615385,0
6,4.0,0.6666666666666666,0.11764705882352941,0.2,1
7,4.0,0.5714285714285714,0.11764705882352941,0.1951219512195122,0
8,5.0,0.625,0.14705882352941177,0.2380952380952381,1
9,6.0,0.6666666666666666,0.17647058823529413,0.27906976744186046,1
10,7.0,0.7,0.20588235294117646,0.3181818181818182,1
11,7.0,0.6363636363636364,0.20588235294117646,0.3111111111111111,0
12,7.0,0.5833333333333334,0.20588235294117646,0.3043478260869565,0
13,8.0,0.6153846153846154,0.23529411764705882,0.3404255319148936,1
14,8.0,0.5714285714285714,0.23529411764705882,0.3333333333333333,0
15,9.0,0.6,0.2647058823529412,0.36734693877551017,1
16,10.0,0.625,0.29411764705882354,0.4,1
17,11.0,0.6470588235294118,0.3235294117647059,0.4313725490196078,1
18,12.0,0.6666666666666666,0.35294117647058826,0.46153846153846156,1
19,13.0,0.6842105263157895,0.38235294117647056,0.49056603773584906,1
20,13.0,0.65,0.38235294117647056,0.48148148148148157,0
