k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.015625,0.03076923076923077,1
2,2.0,1.0,0.03125,0.06060606060606061,1
3,3.0,1.0,0.046875,0.08955223880597014,1
4,4.0,1.0,0.0625,0.11764705882352941,1
5,5.0,1.0,0.078125,0.14492753623188406,1
6,6.0,1.0,0.09375,0.17142857142857143,1
7,7.0,1.0,0.109375,0.19718309859154928,1
8,8.0,1.0,0.125,0.2222222222222222,1
9,9.0,1.0,0.140625,0.2465753424657534,1
10,9.0,0.9,0.140625,0.24324324324324326,0
11,10.0,0.9090909090909091,0.15625,0.2666666666666666,1
12,10.0,0.8333333333333334,0.15625,0.2631578947368421,0
13,11.0,0.8461538461538461,0.171875,0.2857142857142857,1
14,11.0,0.7857142857142857,0.171875,0.28205128205128205,0
15,12.0,0.8,0.1875,0.3037974683544304,1
16,13.0,0.8125,0.203125,0.325,1
17,14.0,0.8235294117647058,0.21875,0.34567901234567905,1
18,15.0,0.8333333333333334,0.234375,0.3658536585365853,1
19,16.0,0.8421052631578947,0.25,0.3855421686746988,1
20,17.0,0.85,0.265625,0.4047619047619047,1
