k,hits,precision,recall,fmeasure
1,2.0,1.0,0.0425531914893617,0.08163265306122448
2,2.0,0.6666666666666666,0.0425531914893617,0.08
3,2.0,0.5,0.0425531914893617,0.0784313725490196
4,3.0,0.6,0.06382978723404255,0.11538461538461536
5,3.0,0.5,0.06382978723404255,0.11320754716981131
6,4.0,0.5714285714285714,0.0851063829787234,0.14814814814814814
7,5.0,0.625,0.10638297872340426,0.1818181818181818
8,5.0,0.5555555555555556,0.10638297872340426,0.17857142857142855
9,6.0,0.6,0.1276595744680851,0.21052631578947367
10,7.0,0.6363636363636364,0.14893617021276595,0.24137931034482757
11,8.0,0.6666666666666666,0.1702127659574468,0.2711864406779661
12,8.0,0.6153846153846154,0.1702127659574468,0.26666666666666666
13,9.0,0.6428571428571429,0.19148936170212766,0.29508196721311475
14,9.0,0.6,0.19148936170212766,0.29032258064516125
15,10.0,0.625,0.2127659574468085,0.31746031746031744
16,10.0,0.5882352941176471,0.2127659574468085,0.3125
17,10.0,0.5555555555555556,0.2127659574468085,0.3076923076923077
18,11.0,0.5789473684210527,0.23404255319148937,0.3333333333333333
19,12.0,0.6,0.2553191489361702,0.3582089552238805
